bin,freq_hz,abs_h,training_noise,mean_abs_llr
668,3914.0625,3.253867475627058,2.482751897071922,2.0023262107487776
669,3919.921875,3.650055636368769,3.0160480035240247,2.2799798069931647
670,3925.78125,4.39007443693128,3.5829494125213586,4.175107476074162
671,3931.640625,2.540965943095733,2.014146767214034,2.7158355908080245
672,3937.5,1.5602087667443125,1.4849320091076637,1.4661788588345412
673,3943.359375,0.8214033868405237,0.75,2.9572464449950395
674,3949.21875,2.2207091532805547,2.0061088871811026,1.0752703957733456
675,3955.078125,1.0152797537775438,1.0680536248510495,1.3499578594510946
676,3960.9375,1.9395285486323446,2.174703036947766,1.9929224359473747
677,3966.796875,2.166381338710411,1.8026789934663952,1.8912294141472954
678,3972.65625,1.4030715586133196,0.9681684293773725,1.0788741342375312
679,3978.515625,3.5417559229113467,4.354418504461611,3.868394187585199
680,3984.375,4.534595268094427,5.456321834521699,3.75989712257493
681,3990.234375,5.1144693230887714,4.325574111180197,2.714802516546368
682,3996.09375,2.2098161727130443,2.6124850204264103,1.6021977802565626
683,4001.953125,0.6893235815456124,0.75,1.5293407213496393
684,4007.8125,2.6279633912567695,2.123994399957719,2.085195671051967
685,4013.671875,1.2901912038152545,1.1836229625859336,1.9809140776292324
686,4019.53125,3.6212381584695366,3.8893508389393143,3.317673645603113
687,4025.390625,3.756224368603494,4.242684896810396,3.069081321893485
688,4031.25,3.3568421839940203,4.1131118277029275,3.015217181325031
689,4037.109375,3.069067206218214,4.20581472987159,4.197255333560025
690,4042.96875,2.261031093545441,2.1469758303823285,3.4723899512624854
691,4048.828125,1.659740884111918,1.3988912582406299,2.0151538775409255
692,4054.6875,0.9541035475354421,1.4967317623538834,1.3975844375275643
693,4060.546875,1.8289638208536112,2.015356714408872,1.9056204281923919
694,4066.40625,3.8417649412844623,5.379148990916274,4.116838339033698
695,4072.265625,4.016482033598457,5.4504190515123945,6.198928823094405
696,4078.125,3.7249800306091663,4.125402074164073,3.8493755282756292
697,4083.984375,1.7759454193711295,1.8942787284014913,1.8144626847895464
698,4089.84375,1.716599610212998,1.1412159237017105,1.8667104201671079
699,4095.703125,2.805803992032061,2.826949044198323,2.191728265488304
700,4101.5625,2.0517369394350964,2.390318708265644,3.035543398864908
701,4107.421875,2.0288143612606824,1.6731767606303916,1.3579945723941582
702,4113.28125,1.561986949244016,1.1575790452341117,1.5653205318567074
703,4119.140625,2.2296172341245333,1.725214295647552,2.014035845961832
704,4125.0,3.2843853086921304,2.194034248661368,1.962663040570414
705,4130.859375,5.691824289856206,5.0824269338693036,4.464735750740713
706,4136.71875,4.677840465653027,4.246218823542898,5.424850776396723
707,4142.578125,3.260944003554678,2.5775818247580475,3.3581096222311912
708,4148.4375,3.866719487359307,3.2112432470465153,5.061766413145277
709,4154.296875,4.064595212688963,2.7921554638452397,4.18459872593479
710,4160.15625,3.467778785819144,2.370407672936991,2.83972415997556
711,4166.015625,2.9059362202623222,2.2952925303429916,1.7712380016014109
712,4171.875,2.2771012827137107,1.9534347305987083,2.112428288838724
713,4177.734375,4.472809687671468,3.0145157486013723,3.468699761939767
714,4183.59375,4.543996008372385,4.750220706248645,4.71992929885847
715,4189.453125,1.8249668607256675,1.1122088922978006,1.6247335436092418
716,4195.3125,1.3157401677326594,0.8096051784626145,2.349467262348709
717,4201.171875,0.6760828091807498,0.75,1.8870571505050582
718,4207.03125,3.008690871308788,3.6732225727054955,2.7506625391283
719,4212.890625,4.272827451290671,5.4811980998950895,5.413646528332302
720,4218.75,4.068912173781738,3.8774970182301214,4.339733674260908
721,4224.609375,4.184630220917602,3.1620730783751743,2.701068280069029
722,4230.46875,2.798104149184338,3.0073095695785788,2.3197300481120315
723,4236.328125,2.078540696508053,1.4697163697182245,1.4709402288206352
724,4242.1875,2.5859072510614,2.3900207012621904,1.7522043636102809
725,4248.046875,3.6403540555313074,5.276842754255963,4.543175829728296
726,4253.90625,3.724653308554344,4.719254493758828,5.01875307047417
727,4259.765625,4.255658481509717,5.664843286786533,5.878655408607831
728,4265.625,2.516173941367487,2.1995362472398883,2.7277658638863267
729,4271.484375,5.072633674898646,5.497569817889033,5.899982649017912
730,4277.34375,5.520356676987801,8.37333059322789,6.499033406293445
731,4283.203125,3.9761793060021766,3.8854394043791727,3.8584483046211404
732,4289.0625,1.980515531027933,2.4937717163087596,3.1869696244561583
733,4294.921875,3.5419077452277152,3.8414019217078605,4.651499930116913
