bin,freq_hz,role,gain_run1,gain_run2,gain_run3,min_snr_db,min_phase_coherence,max_amplitude_cv,gain_std_db
232,10875.0,data,0.9636300942673619,0.7899749520586672,0.8057110264124929,45.71072103037793,0.9909254394962415,0.02150228827485568,0.7763925073627527
233,10921.875,data,0.3716504022321052,0.2583812778854647,0.16177970252535723,31.556436011158997,0.9806278137812128,0.058186654627605756,2.957048688059472
234,10968.75,data,0.42948631243913993,0.27361249456782977,0.375463640309278,41.14447931240926,0.9869857850574981,0.06202345888614911,1.6416634506681227
235,11015.625,data,0.5613902051444137,0.4474138727738901,0.5446453826281278,48.92633732045138,0.9876276027362074,0.027784096975995636,0.8738171943919523
236,11062.5,pilot,0.4730094640847117,0.4610861507513012,0.46693321680500416,49.30081439418133,0.9885561700602656,0.01929909254042499,0.09053360689266027
237,11109.375,data,0.4640182144095093,0.3759832288050196,0.4110598146935111,49.27977304936718,0.9869814353624755,0.033026179479478876,0.7488742737333343
238,11156.25,data,0.6029610259938762,0.4991834536287789,0.4885002515517196,46.448049850861224,0.9854978801979664,0.04038631538966126,0.8212583836307483
239,11203.125,data,0.40464584084490485,0.5104956250442674,0.4037941348240515,43.65568291597552,0.9848808280123391,0.03532625174698771,0.9557969748812999
240,11250.0,pilot,0.3088827366596318,0.33899329022792823,0.2301666526465058,44.5127500561224,0.9890666944665537,0.04238905144063719,1.4333537776738274
241,11296.875,zero,0.47245126809065885,0.40232610097919286,0.36156741450643975,46.67209515592422,0.9795178643621227,0.06811118801354524,0.95489283791765
242,11343.75,zero,0.24607117411430407,0.18322957003093773,0.2130485719726477,33.607119767135515,0.9453854009963235,0.07337444041239466,1.0457372277365247
243,11390.625,zero,0.25384777506347467,0.13643309186959585,0.14256136973410055,32.627757403102244,0.9774982240236522,0.0641265146322176,2.457309197233083
244,11437.5,zero,0.2677942370890792,0.2593535110114397,0.26089914429741734,35.722929185572326,0.9899394966340483,0.044688936911715646,0.12082284048111945
245,11484.375,zero,0.183026712936103,0.17154935216359385,0.25934913635422163,38.323613439271185,0.984621287024784,0.07871740704123072,1.5765324601777262
246,11531.25,zero,0.4641445320442974,0.29527282216135536,0.22177783859762235,42.54591537971515,0.9778475591297907,0.08803779285452472,2.6407698022922195
247,11578.125,zero,0.36181472816705074,0.0951935367878401,0.0905976073647521,32.730393156347844,0.9279474667758216,0.2964091640689534,5.571221852533792
248,11625.0,zero,0.38144248886643495,0.17370613722209327,0.10161889777677849,36.00719679889573,0.9861174964213472,0.40598445809540024,4.718346775062922
249,11671.875,zero,0.7336306312162286,0.4853446318463419,0.33035073140464644,42.68208945947636,0.9884311480745627,0.02417953148336418,2.8297776428454875
250,11718.75,zero,0.38608121584476085,0.23413760474803982,0.2176692549219914,41.51477184552085,0.9834239846426888,0.07117836694925023,2.2123329821812043
251,11765.625,zero,0.2696225542022008,0.30571463064902993,0.278099868215007,37.64358160111459,0.9829477928533177,0.07374294847095682,0.4641853014325
252,11812.5,zero,0.37818468940955585,0.35352474539344114,0.3150446677493659,42.67726681270915,0.9842669744756783,0.021064285390535942,0.6550951301105338
253,11859.375,zero,0.35504226903072295,0.26342741571793005,0.2856828846192344,45.973293344013115,0.9883991150121247,0.033813000678123255,1.094478260177703
254,11906.25,zero,0.5418993188162428,0.5671956809060417,0.5160090372852647,43.276968155308005,0.9877994103982284,0.024774442352036394,0.3354502880557122
255,11953.125,zero,0.49532687056626956,0.3066920536723713,0.20855891432225301,45.13889823780058,0.9884622776498218,0.03606908031694457,3.0732759347526026
256,12000.0,zero,0.26584821893736155,0.2966115295749877,0.25131507373211587,41.43574968361825,0.9695986469668161,0.07322282283525126,0.597666546922578
257,12046.875,zero,0.33983210284038146,0.23282436737989928,0.2407618127643085,37.612967578560216,0.984866398133307,0.10041326793897261,1.484566045448801
258,12093.75,zero,0.2216422568795709,0.16810337653752402,0.15650998357188065,33.3934382353684,0.9848433427609129,0.05742693395949093,1.3032574281547773
259,12140.625,zero,0.14852123390032193,0.12435362429259436,0.16202439201730118,30.60736913988213,0.9863897730287685,0.12201720972715496,0.956482721234805
260,12187.5,zero,0.2892144339705833,0.10670225948439364,0.13619376823367552,30.365443462805445,0.9844786887744724,0.12173508847190964,3.6862006624942376
261,12234.375,zero,0.5251493658488856,0.14947235873386205,0.21113144382868404,35.30300454039225,0.9860776311470545,0.09383374042946938,4.603922190428238
262,12281.25,zero,0.33928159358297283,0.13698941417737626,0.2546544380164034,39.02252986383188,0.9704614531243309,0.24196592855335408,3.2874631623500083
263,12328.125,zero,0.24348305767912676,0.3088573018693177,0.35145177917618686,40.253184551901946,0.9793708158876062,0.09036356836740352,1.3203390196526077
264,12375.0,zero,0.3577701656108273,0.1834285584521999,0.2598938502923506,40.11041154050022,0.9832934610354948,0.090181183531699,2.3696952651832395
265,12421.875,zero,0.30301084731526456,0.38376055944378284,0.3499005333600482,42.83269556074486,0.9813702671439503,0.06041883912980824,0.8443545774750464
266,12468.75,zero,0.4334302499834318,0.29653494382333956,0.3300138142923026,43.39122669780282,0.985669204124066,0.024534683154434134,1.387996386325305
267,12515.625,zero,0.1298298217605363,0.06397823008130434,0.09000173109807627,28.84155000066881,0.9647177812074857,0.07144023711026269,2.5099653584131976
268,12562.5,zero,0.2525746115207801,0.3081413106485049,0.2807234799853503,36.09141183067,0.9806017782258342,0.024619089961078467,0.7055907232548712
269,12609.375,zero,0.14488041768398158,0.20841390935840282,0.20044340509274688,31.775323320507756,0.9778843641029056,0.060722112988199906,1.4157922262719616
270,12656.25,zero,0.42646633845249143,0.20383399570138303,0.24446861093502464,39.47867024938517,0.9870483816570145,0.03553648228524826,2.72781948924641
271,12703.125,zero,0.11788910615328195,0.26864930056225045,0.12586253279603288,32.08484606014239,0.9635437610162103,0.14931061743392238,3.2468594502823693
272,12750.0,zero,0.518895244556902,0.3335989747396767,0.5026951781897336,36.534700685717354,0.9764538084036404,0.026870615225398554,1.7475134747211774
273,12796.875,zero,0.5503449203461457,0.49297987798721077,0.5120228491781107,40.72276324249751,0.9863127295283277,0.04633545504567487,0.39658968444105536
274,12843.75,zero,0.13061447603158516,0.07193855530502502,0.07618538472323502,28.867230749215476,0.9546974354411404,0.44770368898325663,2.3336080709184097
275,12890.625,zero,0.45100432561073633,0.41777724162087004,0.3858011692871899,40.015701599796955,0.9832843346334921,0.08584960189124685,0.5537611709635668
276,12937.5,zero,0.25878123012330934,0.19717965900054918,0.18198565962016386,31.929903788147417,0.9811694267248393,0.11145413441300413,1.3086129072812267
277,12984.375,zero,0.5429246220564166,0.33607676209071274,0.38885827188460675,34.08907243891233,0.9860045519453997,0.04282265335012577,1.7437238932236512
278,13031.25,zero,0.411666631711649,0.27149725178852535,0.32216804409783456,42.108146770054645,0.9792826417976654,0.05540098245521353,1.483822763916594
279,13078.125,zero,0.697006437836321,0.4435300229529744,0.3760528268822064,46.51931953889328,0.9818920305068601,0.03521208813387827,2.265625372739242
280,13125.0,zero,0.7937436578391038,0.6315504511041832,0.8219713631408285,41.57326775266746,0.9835922046275922,0.034403939962374036,1.0150815561105464
281,13171.875,zero,0.7268650748793942,0.7508158961498754,0.7967581994639633,42.708650956574516,0.9793851159704866,0.026393806626241693,0.3302090388764084
282,13218.75,zero,0.6523106795927001,0.6398992726679933,0.5291557861393271,39.48634646710556,0.9815910574838164,0.0173574755565343,0.8202442192368177
