bin,freq_hz,abs_h,training_noise,silence_noise,mean_abs_llr,llr_count
101,9468.75,0.824118908344813,1.0820313839379323,0.00041079286801913324,1.4260786564241055,2857
102,9562.5,0.37740321506660324,0.7162833354713752,0.00042939829856948104,2.1707091112353942,2857
103,9656.25,0.7597204025066966,0.6791762914034545,0.0003419100293614472,2.361094510579215,2857
104,9750.0,0.6331297218762644,0.571382674569278,0.0004296050099469302,3.023945075981733,2856
105,9843.75,0.9955042912607881,1.1758139749092273,0.00029212266329228386,1.4366678927910752,2857
106,9937.5,0.77980817723755,0.5027512346467803,0.00046079322956550027,2.869423847096013,2857
107,10031.25,0.8500553756111457,0.6258745496200223,0.0005164020909796612,3.452855096746562,2857
108,10125.0,0.6928533978996932,0.21974663752263088,0.0005590617421510852,9.755500695495567,2856
109,10218.75,0.7856286307485482,0.33084731272596496,0.00036780069395378153,8.370341901493848,2857
110,10312.5,0.789570034956985,0.2787705700830047,0.0006009419731557335,10.836553111662933,2857
111,10406.25,0.7015689632637516,0.7033713350862157,0.0004757056384493367,5.382697582850123,2857
112,10500.0,0.5330138340539002,0.46339856511141897,0.000481969573462949,5.752672433775627,2856
113,10593.75,0.8937189931617721,0.5846854008397023,0.000365011730324178,6.511937102975119,2857
114,10687.5,0.3114107482766766,0.6392944503552841,0.0003618100003451729,2.459105000963542,2857
115,10781.25,0.5978982250636501,0.7163850623595837,0.00039554786393677265,1.4080084865432358,2857
116,10875.0,0.5475578230176434,0.5828629794380717,0.00040343628519784875,2.3770817116560496,2856
117,10968.75,0.6339100156478157,0.5410722946248144,0.00043328936882678,3.973725446693624,2857
118,11062.5,0.4590094938850502,1.0411769948372924,0.00036550636823169484,1.8342713627277911,2857
119,11156.25,0.4716656314143472,0.8950779847812202,0.0004572907266134026,4.227314954594236,2857
120,11250.0,0.7714230744604093,1.1828543850359954,0.0003767900770679079,2.636421365250597,2856
158,14812.5,0.3541157961662459,0.6363403948049366,0.0012358098755544478,1.5172341831859717,2856
159,14906.25,0.10533814796692569,0.5230155641894607,0.0012056405444987657,1.0809000303549985,2857
160,15000.0,0.33406300432540076,0.46676501284489025,0.0021579227682186454,2.036466375902041,2857
161,15093.75,0.3988643840896207,0.3426913421638532,0.00226186894552613,5.00497574140604,2856
162,15187.5,0.5309166723162848,0.5485131543983635,0.001140734098785716,3.1974362233114686,2856
163,15281.25,0.2325309478633888,0.5983180421077946,0.001544099648298601,1.4865088592783435,2856
164,15375.0,0.3226867940918072,0.5957124005635279,0.0010996823101907206,2.210786551417163,2856
165,15468.75,0.44190623389133515,0.5549412532071571,0.0010280399181264628,2.902396868823149,2856
166,15562.5,0.6998499448663279,0.3980622712745455,0.0008926896605448894,7.782589113901182,2856
167,15656.25,0.720878151926526,0.3921013966669906,0.001485326703779653,9.446024247960457,2856
168,15750.0,0.7967614436353512,0.3240246955998148,0.0011212215652369902,11.047059917402844,2856
169,15843.75,0.6328578519707548,0.3301500208463245,0.0006970771942875439,8.13376892868599,2856
170,15937.5,0.23440397098870072,0.2337868242964004,0.001282368204294347,6.5133342170951085,2856
171,16031.25,0.3057665797283809,0.23664169718919814,0.0011145548063564953,4.722887929753691,2856
172,16125.0,0.35204982132207496,0.24729907715913813,0.0008130597401864918,4.038988195119988,2856
173,16218.75,0.26006461211625764,0.14886810189294059,0.0011361846098429764,2.9962998484452568,2856
174,16312.5,0.10456573139942184,0.10916226550094096,0.0007758469806628192,1.606271695977305,2856
175,16406.25,0.15731369628475644,0.13640528576028849,0.000984203121695045,2.3955923694549592,2856
176,16500.0,0.1645395590878328,0.1072108009680735,0.000896318485713659,3.928703059500007,2856
177,16593.75,0.2055183694483145,0.11130399967887453,0.0007097308977925409,3.9020840053236143,2856
178,16687.5,0.2836381071663592,0.1393171199804321,0.001291132385201406,4.45748464754947,2856
