bin,freq_hz,real_h_mean,imag_h_mean,abs_h_mean,phase_h_mean,abs_h_std
100,4687.5,0.2490026635870496,-0.10928011357518552,0.27192732429171373,-0.4135608239427409,0.3615556513519506
101,4734.375,0.06258112143968052,-0.22557844540029492,0.2340983378622366,-1.3001769260403004,0.1819669956725295
102,4781.25,0.04433999592132257,0.0005190385236736095,0.044343033717732475,0.011705342035168782,0.40203621701530007
103,4828.125,0.0021907839651647667,-0.0033653144195943453,0.004015579102041532,-0.993725894960092,0.34824305828471314
104,4875.0,0.1661825084048829,-0.0608398329613015,0.1769692384978193,-0.35094740303491284,0.1735987643386089
105,4921.875,-0.06138672717085145,-0.17663578339517175,0.186998743975393,-1.9052715004537255,0.11175805480102059
106,4968.75,0.09799394223207417,-0.11685201100945382,0.15250313174206162,-0.8729486197598952,0.10948548269547351
107,5015.625,0.15135104651749032,-0.23426068708822398,0.27889999784328845,-0.9971820516207093,0.255920281977302
108,5062.5,0.028911893497166243,-0.1339387094515076,0.13702363108284227,-1.3581991391204942,0.08779152818076666
109,5109.375,0.08318334179319538,-0.10719638813213153,0.1356854228738598,-0.9108679500222329,0.14305369094858675
110,5156.25,-0.0016341528248442596,-0.07612852342788551,0.07614606053345806,-1.5922587409788462,0.32509641053701505
111,5203.125,0.16015605452751644,-0.1327718675138212,0.20803444571735832,-0.6921846883048367,0.22175267900584206
112,5250.0,0.15274827868370536,-0.14775035591286245,0.21251400968692027,-0.7687675986659722,0.125064914848378
113,5296.875,-0.04876143020557783,-0.2085789136476818,0.2142028017887267,-1.8004511481495284,0.26737946796507406
114,5343.75,0.005603142881234091,-0.12733454490443025,0.12745776373436765,-1.52682137372649,0.15350549422985912
115,5390.625,0.09715162671231908,-0.1773436610498167,0.20221081248885298,-1.0696317337867463,0.16473664264691482
116,5437.5,0.06828665255078911,-0.07391217714833578,0.10062840974297052,-0.8249385209423655,0.1128558509071327
117,5484.375,0.18266699271321094,-0.043743388309627866,0.18783161141750115,-0.2350444255981016,0.2860346762767334
118,5531.25,0.2201405819306216,-0.010195934539971065,0.22037657065553976,-0.04628248585839937,0.4613781082764893
119,5578.125,0.0032326415472815704,-0.190380783021862,0.19040822596566176,-1.553818085212343,0.08635809891915969
120,5625.0,-0.08975092504337312,-0.025360549820422962,0.09326513836013613,-2.8662061920468562,0.47367858049213074
121,5671.875,0.017764122608255852,-0.023106126393651883,0.029145447825699347,-0.9153677809977159,0.4597525745380179
122,5718.75,-0.012362405374607956,-0.06499106142438003,0.06615638390747845,-1.758767713772558,0.284910475060165
123,5765.625,-0.014662575530933586,-0.13028953613512226,0.13111199162359505,-1.6828632060828639,0.24604290345563715
124,5812.5,-0.003710740323033718,-0.0985373166134828,0.09860716180445893,-1.608436764173014,0.18894614970711934
125,5859.375,-0.03181303293072476,-0.11332193089204966,0.11770271485974254,-1.8444831985226737,0.31429534025662
126,5906.25,0.016962831127311753,-0.06757578032873426,0.06967225937839999,-1.3248584685609728,0.37272049524725764
127,5953.125,0.0028598665987988993,-0.0969598313820278,0.09700199863195699,-1.541309500640729,0.13178619838280092
128,6000.0,-0.06477917420733957,-0.125459669221859,0.14119656515738307,-2.0474260968353417,0.30358415031612335
129,6046.875,-0.052489953695549374,-0.16999342643247042,0.17791278838018545,-1.870285264957763,0.3771792785654631
130,6093.75,0.05389216799627055,-0.18027714530951996,0.1881600778387595,-1.2803116911147903,0.12349401754291024
131,6140.625,0.08558803029105488,-0.2356430561931968,0.25070492787572535,-1.2224015097691738,0.15363851080138446
132,6187.5,0.0063625273578270195,-0.16183152071831253,0.16195654618563807,-1.5315008167428898,0.17544589256709564
133,6234.375,0.0006729613908482646,-0.12214586078691546,0.12214771460985303,-1.5652868926028092,0.18333689076745616
134,6281.25,0.061316472592076565,-0.03472015526527402,0.070464168147929,-0.5152298880896513,0.2501872915326773
135,6328.125,0.0017344619427441367,-0.04658635412669704,0.04661863092207717,-1.5335823994654256,0.41992429706050227
136,6375.0,-0.017989483407492835,-0.06057467362379402,0.06318949752844713,-1.8594804367165634,0.19418696123243298
137,6421.875,-0.08857803141435741,-0.13600722591426137,0.16230845064301433,-2.148066949212776,0.4534104103474196
138,6468.75,0.035263691644028865,-0.11100773761790804,0.11647422787643397,-1.2632094957817737,0.18626620051271073
139,6515.625,0.10868293716798416,-0.1886519849693903,0.21771897543473573,-1.0481336568744417,0.2027757373504218
140,6562.5,0.09197627844920221,-0.22666820629641757,0.24461829764553691,-1.1853214856626964,0.2948588195771861
141,6609.375,0.10025272744754064,-0.23358334980126713,0.2541884943600949,-1.165378132451136,0.26771630669066443
142,6656.25,0.10583958686391351,-0.13392710789585313,0.1706999952456689,-0.902011886564801,0.17456795529288743
143,6703.125,0.1138566730658977,-0.11110869145128835,0.1590864020513768,-0.7731836389180887,0.12794540448502206
144,6750.0,0.04707531138744492,-0.18018327362626801,0.18623129983142864,-1.315245144028663,0.15093718332568642
145,6796.875,0.07758155848430173,-0.1020697929464745,0.12820741339325625,-0.9208729943737011,0.21338641528843347
146,6843.75,0.03888013195373089,-0.09528770473835896,0.10291458271325887,-1.1833877520741316,0.19086958175411228
147,6890.625,0.06858268763137602,-0.1045733594048254,0.1250566773105446,-0.9903313173830941,0.14432913859315147
148,6937.5,0.0030817054081114627,-0.166728499853337,0.16675697757984995,-1.552315056087704,0.13542192302443784
149,6984.375,0.012289559778996928,-0.13192631700407617,0.1324974958171721,-1.4779096669009433,0.20878023909624807
150,7031.25,0.06131046796219963,0.011952693295218121,0.06246471290859712,0.1925385272748541,0.3669125244075561
