bin,freq_hz,errors,symbols,ber
329,15421.875,11,1899,0.005792522380200105
330,15468.75,12,1899,0.00631911532385466
332,15562.5,19,1899,0.010005265929436546
333,15609.375,23,1899,0.012111637704054766
334,15656.25,23,1899,0.012111637704054766
335,15703.125,18,1899,0.009478672985781991
336,15750.0,13,1899,0.006845708267509215
337,15796.875,14,1899,0.00737230121116377
338,15843.75,17,1899,0.008952080042127435
340,15937.5,21,1899,0.011058451816745656
341,15984.375,23,1899,0.012111637704054766
342,16031.25,23,1899,0.012111637704054766
343,16078.125,15,1899,0.007898894154818325
344,16125.0,19,1899,0.010005265929436546
345,16171.875,16,1899,0.00842548709847288
346,16218.75,16,1899,0.00842548709847288
348,16312.5,19,1899,0.010005265929436546
349,16359.375,23,1899,0.012111637704054766
350,16406.25,26,1899,0.01369141653501843
351,16453.125,23,1899,0.012111637704054766
352,16500.0,18,1899,0.009478672985781991
353,16546.875,21,1899,0.011058451816745656
354,16593.75,19,1899,0.010005265929436546
356,16687.5,18,1899,0.009478672985781991
357,16734.375,16,1899,0.00842548709847288
358,16781.25,50,1899,0.02632964718272775
359,16828.125,379,1899,0.19957872564507637
360,16875.0,52,1899,0.02738283307003686
361,16921.875,266,1899,0.14007372301211163
362,16968.75,202,1899,0.10637177461822012
364,17062.5,224,1899,0.11795681937862032
365,17109.375,8,1899,0.00421274354923644
366,17156.25,19,1899,0.010005265929436546
367,17203.125,24,1899,0.01263823064770932
368,17250.0,11,1899,0.005792522380200105
369,17296.875,21,1899,0.011058451816745656
370,17343.75,21,1899,0.011058451816745656
372,17437.5,20,1899,0.010531858873091101
373,17484.375,27,1899,0.014218009478672985
374,17531.25,25,1899,0.013164823591363875
375,17578.125,17,1899,0.008952080042127435
376,17625.0,17,1899,0.008952080042127435
377,17671.875,20,1899,0.010531858873091101
378,17718.75,12,1899,0.00631911532385466
380,17812.5,20,1899,0.010531858873091101
381,17859.375,17,1899,0.008952080042127435
382,17906.25,970,1899,0.5107951553449184
383,17953.125,1219,1899,0.6419167983149026
384,18000.0,1399,1899,0.7367035281727224
385,18046.875,1335,1899,0.7030015797788309
386,18093.75,269,1899,0.1416535018430753
388,18187.5,305,1899,0.16061084781463927
389,18234.375,348,1899,0.18325434439178515
390,18281.25,107,1899,0.05634544497103739
391,18328.125,103,1899,0.05423907319641917
392,18375.0,17,1899,0.008952080042127435
393,18421.875,23,1899,0.012111637704054766
394,18468.75,20,1899,0.010531858873091101
396,18562.5,16,1899,0.00842548709847288
397,18609.375,14,1899,0.00737230121116377
398,18656.25,22,1899,0.01158504476040021
399,18703.125,25,1899,0.013164823591363875
