bin,frequency_hz,real,imag,abs,phase
73,3421.875000,-0.0284359458001,0.0139671482725,0.0316809760647,2.68502646284
74,3468.750000,-0.0345376846185,0.00574380715205,0.0350120404919,2.97679539531
75,3515.625000,-0.0119437110787,-0.011739813881,0.0167474017176,-2.3648035195
76,3562.500000,-0.0170038521684,-0.0449992988288,0.0481047594698,-1.93208014485
77,3609.375000,-0.0167600511643,-0.0556177062534,0.0580881103491,-1.86348551242
78,3656.250000,-0.0361409137971,-0.0866049087194,0.0938433581261,-1.96613371031
79,3703.125000,-0.0922578079595,-0.0775780596103,0.120539862545,-2.44241511086
80,3750.000000,-0.105593262325,-0.0692318018571,0.126265511668,-2.56125858673
81,3796.875000,-0.121375411633,-0.0685482438499,0.139394592019,-2.62748639209
82,3843.750000,-0.142303593113,-0.0600631236245,0.154459999458,-2.74220011826
83,3890.625000,-0.227615151157,-0.058703263061,0.235063247085,-2.88918720848
84,3937.500000,-0.17586233904,-0.0163458287143,0.176620351061,-3.04891220678
85,3984.375000,-0.307553486722,-0.0346476929581,0.309498965785,-3.02940981255
86,4031.250000,-0.305215031181,0.0664195301503,0.31235839871,2.92731787478
87,4078.125000,-0.181365160591,0.0781630667532,0.197491231401,2.73467567479
88,4125.000000,-0.247257614658,0.096733183129,0.265506377936,2.76867436653
89,4171.875000,-0.130444997436,0.0656167680997,0.146018689256,2.67552997293
90,4218.750000,-0.179905686048,0.0484549731043,0.186316774046,2.87850034877
91,4265.625000,-0.17615354032,0.0857980041338,0.195937151354,2.68834749783
92,4312.500000,-0.136337167217,0.113712417163,0.177534044571,2.44642983305
93,4359.375000,-0.134915905369,0.128968292809,0.186641694355,2.37872939676
94,4406.250000,-0.0776287098147,0.0989851506354,0.125794581099,2.23585708901
95,4453.125000,-0.126442598798,0.0967002336496,0.159181236265,2.48870193558
96,4500.000000,-0.0144513343168,0.159757241011,0.160409529389,1.66100888812
97,4546.875000,0.0267203776692,0.0440435975908,0.05151521204,1.02547940287
98,4593.750000,0.0489044532299,0.0154197674611,0.0512778195156,0.305437316967
99,4640.625000,0.00282783966963,-0.126882494865,0.12691400309,-1.54851294087
100,4687.500000,-0.0822801037677,-0.108861496691,0.136458202164,-2.21801422329
101,4734.375000,-0.113198645945,-0.102551943312,0.152744343662,-2.4055017628
102,4781.250000,-0.162027500127,-0.0619719268112,0.173474581741,-2.77628224786
103,4828.125000,-0.178206539374,-0.0258243806052,0.180067957476,-2.99768179117
104,4875.000000,-0.179862082486,0.0420150564038,0.18470417884,2.91211166536
105,4921.875000,-0.168375415943,0.0638561513273,0.180077452104,2.7791023412
106,4968.750000,-0.140065838981,0.0568020554877,0.151145336537,2.75632105789
107,5015.625000,-0.128000573522,0.106727795218,0.166658240402,2.44657480469
108,5062.500000,-0.0952193152594,0.133888637883,0.164295116643,2.18898825711
109,5109.375000,-0.0433025744773,0.110716030462,0.118882935519,1.94361884782
110,5156.250000,-0.0448603239726,0.072021218753,0.0848498946233,2.12786716645
111,5203.125000,-0.0231589292617,0.0354694286525,0.0423605520913,2.14922607781
112,5250.000000,-0.0567705540673,-0.0224425950358,0.0610456049282,-2.76512635061
113,5296.875000,-0.0345993794332,0.0219594142486,0.0409796648511,2.57606517308
114,5343.750000,-0.0768452866778,0.000733571665439,0.0768487879669,3.13204685819
115,5390.625000,-0.0565756218095,-0.00800391170394,0.0571389848151,-3.00105251584
116,5437.500000,-0.106846891219,-0.0311893441217,0.111306034652,-2.85757716541
117,5484.375000,-0.125531552163,-0.020052448448,0.127123055648,-2.98319061427
118,5531.250000,-0.0900511223458,-0.0301694753776,0.0949705316417,-2.81831939306
119,5578.125000,-0.0986746000669,-0.0723003518872,0.122327501329,-2.50924608332
120,5625.000000,-0.114676544836,-0.0593354690563,0.12911780599,-2.66410958668
121,5671.875000,-0.133182625078,-0.0690220015644,0.150005494308,-2.66345123896
122,5718.750000,-0.157424182117,-0.0243778196723,0.159300505986,-2.98795858775
123,5765.625000,-0.144134640267,-0.0185596424936,0.145324653292,-3.01353132281
124,5812.500000,-0.140222322648,-2.66615683483e-05,0.140222325183,-3.14140251576
125,5859.375000,-0.137570595181,-0.00706558270394,0.137751918743,-3.09027805445
126,5906.250000,-0.128918527148,-0.0117400524034,0.129451981338,-3.05077747021
127,5953.125000,-0.151914240592,-0.0188975877006,0.15308512441,-3.01783199712
128,6000.000000,-0.13454931737,-0.0137638721519,0.135251480514,-3.03965114267
129,6046.875000,-0.123409095804,0.0243781227981,0.125793870273,2.94656445124
130,6093.750000,-0.101103517775,-0.0500017644498,0.112792277016,-2.6823064384
131,6140.625000,-0.157898480268,-0.025874625721,0.16000445721,-2.9791675078
132,6187.500000,-0.124714840978,-0.0002992517354,0.124715200003,-3.13919317043
133,6234.375000,-0.134086421834,0.0508203030641,0.143394113282,2.77930965153
134,6281.250000,-0.100556088088,0.0681788965799,0.1214902827,2.54577215031
135,6328.125000,-0.0210667976463,0.0649881944937,0.068317460335,1.88427141337
136,6375.000000,-0.0486106631712,-0.0229252545176,0.0537453613686,-2.70091422686
137,6421.875000,-0.076552164382,-0.0164015514229,0.0782894932967,-2.93053034199
138,6468.750000,-0.124267811198,-0.0632560794449,0.139441100421,-2.67074694112
139,6515.625000,-0.11490257897,-0.0312723450271,0.119082165824,-2.87586496014
140,6562.500000,-0.162968212525,-0.00515638825307,0.163049767352,-3.10996275173
141,6609.375000,-0.213323888006,0.0527276364647,0.219743679866,2.89927764904
142,6656.250000,-0.12200782204,0.046511685757,0.130572759605,2.77738098931
143,6703.125000,-0.117871677823,0.0358660699577,0.123207578529,2.84621330493
144,6750.000000,-0.0787042456803,0.00516918807384,0.0788738156389,3.07600820564
145,6796.875000,-0.0782173144062,0.0179299876128,0.0802460760954,2.91625287632
146,6843.750000,-0.0852845274701,-0.00467145126795,0.0854123707828,-3.08687243766
147,6890.625000,-0.0760368831315,0.000766058408066,0.0760407419864,3.1315181679
148,6937.500000,-0.0804746043472,0.0199101977361,0.0829010127726,2.89905340162
149,6984.375000,-0.0966803052071,0.005694229947,0.0968478480382,3.08276309845
150,7031.250000,-0.0656864654988,0.038995143441,0.0763893511015,2.60585115292
